id, 0, 1, 2, 10, 11, 12, 20, 21, 22, 100, 101, 102, 110, 111, 112, 120, 121, 122, 200, 201, 202, 210, 211, 212, 220, 221, 222, 1000, 1001, 1002, 1010, 1011, 1012, 1020, 1021, 1022, 1100, 1101, 1102, 1110, 1111, 1112, 1120, 1121, 1122, 1200, 1201, 1202, 1210, 1211, 1212, 1220, 1221, 1222
b032070691,['w'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p']
b03207069,['p'],['p'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['p']
b04207016,['w'],['p'],['p'],['w'],['w'],['w'],['w'],['w'],['p'],['w'],['w'],['w'],['p'],['w'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['w'],['w'],['w'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['w']
b03207010,['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
mickeylo,['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['w'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
b04207002,['w'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w']
b06901074,['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p']
b05207039,['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
b05207004,['w'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
b04207013,['w'],['w'],['p'],['w'],['w'],['p'],['w'],['w'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['w'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['w'],['p']
b04207080,['p'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
mysister,['p'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
mymom,['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p']
mybro,['p'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p']
b04207054,['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p']
b05902003,['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['w'],['p'],['p'],['p'],['p']
b04702075,['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p']
b04702044,['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['w'],['w'],['p'],['p'],['p'],['p']
b042070541,['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p']
b059020031,['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['w'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['w'],['w'],['p'],['p'],['p'],['w'],['p'],['p']
b047020751,['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['w'],['w'],['p'],['p'],['p'],['p'],['p']
b047020441,['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['p'],['p'],['w'],['w'],['w'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['p'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['p'],['p'],['w'],['w'],['p'],['p'],['p'],['p']
